type_of_reference,authors,primary_title,title,publication_year,year,abstract
JOUR,"Sun, Xiaoning, Fan, Tao, Li, Hongxu, Wang, Guozhong, Ge, Peien, Shang, Xiwu",CLIP2TF:Multimodal video–text retrieval for adolescent education,,,2024,"With the rapid advancement of artificial intelligence technology, particularly within the sphere of adolescent education, a continual emergence of new challenges and opportunities is observed. The current educational system increasingly requires the automation of teaching activities detection and evaluation, offering fresh perspectives for enhancing the quality of adolescent education. Although large-scale models are receiving significant attention in educational research, their high demand for computational resources and limitations in specific applications constrain their widespread use in analyzing educational video content, especially when handling multimodal data. Current multimodal contrastive learning methods, which integrate video, audio, and text information, have achieved certain successes in video–text retrieval tasks. However, these methods typically employ simpler weighted fusion strategies and fail to avoid noise and information redundancy. Therefore, our study proposes a novel network framework, CLIP2TF, which includes an efficient audio–visual fusion encoder. It aims to dynamically interact and integrate visual and audio features, further enhancing the visual features that may be missing or insufficient in specific teaching scenarios while effectively reducing redundant information transfer during the modality fusion process. Through ablation experiments on the MSRVTT and MSVD datasets, we first demonstrate the effectiveness of CLIP2TF in video–text retrieval tasks. Subsequent tests on teaching video datasets further proves the applicability of the proposed method. This research not only showcases the potential of artificial intelligence in the automated assessment of teaching quality but also provides new directions for research in related fields studies."
JOUR,"Lou, Yingying, Li, Fan",Design of an online education student learning status evaluation model based on dual-improved neural networks,,,2024,"With the continuous development of network technology, online education has become an important form of education. However, in the online education model, it is difficult for educators to effectively evaluate students' learning status, and using a learning status evaluation model can effectively solve this problem. The main goal of this model is to comprehensively evaluate students' learning behavior, progress, and outcomes, in order to understand their learning status, provide effective teaching feedback to teachers, help students improve learning methods, and improve learning efficiency. The current automatic evaluation model for student learning status has certain limitations in terms of applicability and accuracy. A student learning state evaluation model based on Multi task Cascaded Convolutional Networks (MTCNN) is proposed to address the effectiveness of online education student learning state evaluation. Use the facial image acquisition function to extract students' facial features, process each feature through label classification, and then analyze the students' attention and learning emotions. Finally, analyze the effectiveness of the research method application. The results showed that the train_loss value of the learning state evaluation model proposed in the study can be reduced to about 0.1; the train_acc value can reach more than 95 %, and the overall volatility is small; the overall evaluation accuracy of facial expressions can reach 74.71 %, which is significantly better than cpc, VGG19 and other evaluation methods; compared with the comprehensive evaluation results and multi-modal analysis methods, only two evaluations at the critical value are different. The experimental results show that the online education students’ learning status evaluation model designed by the research has a high accuracy rate and has a certain application potential in the field of online education."
JOUR,"Sagheb, Elham, Wi, Chung-Il, Yoon, Jungwon, Seol, Hee Yun, Shrestha, Pragya, Ryu, Euijung, Park, Miguel, Yawn, Barbara, Liu, Hongfang, Homme, Jason, Juhn, Young, Sohn, Sunghwan",Artificial Intelligence Assesses Clinicians’ Adherence to Asthma Guidelines Using Electronic Health Records,,,2022,"Background Clinicians’ asthma guideline adherence in asthma care is suboptimal. The effort to improve adherence can be enhanced by assessing and monitoring clinicians’ adherence to guidelines reflected in electronic health records (EHRs), which require costly manual chart review because many care elements cannot be identified by structured data. Objective This study was designed to demonstrate the feasibility of an artificial intelligence tool using natural language processing (NLP) leveraging the free text EHRs of pediatric patients to extract key components of the 2007 National Asthma Education and Prevention Program guidelines. Methods This is a retrospective cross-sectional study using a birth cohort with a diagnosis of asthma at Mayo Clinic between 2003 and 2016. We used 1,039 clinical notes with an asthma diagnosis from a random sample of 300 patients. Rule-based NLP algorithms were developed to identify asthma guideline-congruent elements by examining care description in EHR free text. Results Natural language processing algorithms demonstrated a sensitivity (0.82-1.0), specificity (0.95-1.0), positive predictive value (0.86-1.0), and negative predictive value (0.92-1.0) against manual chart review for asthma guideline-congruent elements. Assessing medication compliance and inhaler technique assessment were the most challenging elements to assess because of the complexity and wide variety of descriptions. Conclusions Natural language processing technologies may enable the automated assessment of clinicians’ documentation in EHRs regarding adherence to asthma guidelines and can be a useful population management and research tool to assess and monitor asthma care quality. Multisite studies with a larger sample size are needed to assess the generalizability of these NLP algorithms."
JOUR,"Yamada, Toshiyuki, Suda, Hisao, Yoshitake, Akihiro, Shimizu, Hideyuki",Development of an Automated Smartphone-Based Suture Evaluation System,,,2022,"Objective Quantification of skill level in surgical training is necessary for effective skill development. In this study, we report the development of a smartphone application that automatically and objectively evaluates training in stitching goldfish scoop poi, a fragile material currently used for practice by young surgeons in Japan. Methods The application, named “e-Suture,” enables the automatic evaluation of surgical technique quality by evaluating the gap between the mark printed on the poi and the insertion/extraction point of the needle (Accuracy), analyzing suture placement (Deflection), detecting tears in the poi material/tissue (Tears), and the time taken to perform the exercise (Time). The algorithm for scoring used a sigmoid function, and the coefficients were adjusted so that the scores of a sample of 20 cases ranged between 20 and 100 points. Results The e-Suture prototype was completed. The e-Suture-derived ranking for 20 poi after training was significantly correlated with the mean of the rankings evaluated by 9 experts (correlation coefficient: 0.728; p = 0.000). We also tested which items the experts rated as the most important. The overall ratings obtained from the experts correlated with the e-Suture accuracy scoring results with a correlation coefficient of 0.836 (p = 0.000) for Accuracy, 0.31 (p = 0.173) for Deflection, and 0.518 (p = 0.019) for Tear. Conclusion The e-Suture application can easily and accurately quantify and evaluate the suturing skills of novie surgeons. Further studies should improve the accuracy of data to be analyzed by collecting more surgical data and applying it to other surgical techniques."
JOUR,"Rayhan, MD., Alam, MD. Golam Rabiul, Dewan, M. Ali Akber, Ahmed, M. Helal Uddin",Appraisal of high-stake examinations during SARS-CoV-2 emergency with responsible and transparent AI: Evidence of fair and detrimental assessment,,,2022,"In situations like the coronavirus pandemic, colleges and universities are forced to limit their offline and regular academic activities. Extended postponement of high-stakes exams due to health risk hereby reduces productivity and progress in later years. Several countries decided to organize the exams online. Since many other countries with large education boards had an inadequate infrastructure and insufficient resources during the emergency, education policy experts considered a solution to simultaneously protect public health and fully resume high-stakes exams -by canceling offline exam and introducing a uniform assessment process to be followed across the states and education boards. This research proposes a novel system using an AI model to accomplish the complex task of evaluating all students across education boards with maximum level of fairness and analyzes the ability to fairly appraise exam grades in the context of high-stakes examinations during SARS-CoV-2 emergency. Basically, a logistic regression classifier on top of a deep neural network is used to output predictions that are as fair as possible for all learners. The predictions of the proposed grade-awarding system are explained by the SHAP (SHapley Additive exPlanations) framework. SHAP allowed to identify the features of the students' portfolios that contributed most to the predicted grades. In the setting of an empirical analysis in one of the largest education systems in the Global South, 81.85% of learners were assigned fair scores while 3.12% of the scores were significantly smaller than the actual grades, which would have had a detrimental effect if it had been applied for real. Furthermore, SHAP allows policy-makers to debug the predictive model by identifying and measuring the importance of the factors involved in the model's final decision and removing those features that should not play a role in the model's “reasoning” process."
JOUR,"Larraga-García, Blanca, Monforte-Escobar, Fernando, Quintero Mínguez, Rubén, Quintana-Díaz, Manuel, Gutiérrez, Álvaro",Modified Needleman-Wunsch algorithm for trauma management performance evaluation,,,2023,"Background Trauma injuries are one of the leading causes of death in the world, representing approximately 8 % of all deaths. Therefore, trauma management training is of great importance and new training courses have arisen during the last decades. However, actual training courses do not typically analyze compliance with the protocols and guidelines available in the literature. Considering general trauma management guidelines such as the Advanced Trauma Life Support (ATLS) manual and the expertise of trauma specialists, a trauma management automated evaluation system has been designed in this paper. Methods A modification to the Needleman-Wunsch (NW) algorithm is developed, including all relevant aspects of trauma management to automatically evaluate how a trauma intervention has been implemented according to trauma protocols. This allows to consider more information with respect to the order of the actions taken and the type of actions performed than current evaluation methods, such as checklists or videos recorded in simulation. A web-based trauma simulator is used so that it can be used at any setting with internet connection. Final-year medical students and first- and second-year residents performed an experimental test, where a trauma score is obtained with the modified NW algorithm. This automatic score relates to how similar the actions are to trauma protocols. Results The results show the best combination of the scores used for the modified NW variables. This combination has an error, for the different case scenarios created, below 0.07 which verifies the values obtained. Additionally, trauma experts verified the results obtained showing a median difference of 0 between the protocol adherence evaluation using the algorithm and the one provided by the trauma experts. Conclusions The best set of score values to apply to the modified NW algorithm show that the modified NW algorithm provides a successful objective measurement with respect to the protocol compliance."
JOUR,"D. Galan, R. Heradio, H. Vargas, I. Abad, J. A. Cerrada",,Automated Assessment of Computer Programming Practices: The 8-Years UNED Experience,2019,2019,"The increasing popularity of distance education poses exciting new challenges. In particular, current pedagogical paradigms, such as competency-based education, require students' continuous evaluation. That is, to master skills, students need to receive constant feedback to guide their experimentation processes. However, teaching teams are usually under-dimensioned to support the large number of students that online courses usually have. This paper presents the approach we have adopted at the National University of Distance Education to overcome this problem for the case of computer programming practices, which complements human evaluation with an automatic assessment system. The paper describes our system and reports its benefits with an empirical study from 2011 to 2018 that involved 14,944 students."
JOUR,"H. Vargas, R. Heradio, J. Chacon, L. De La Torre, G. Farias, D. Galan, S. Dormido",,Automated Assessment and Monitoring Support for Competency-Based Courses,2019,2019,"Competency-based education is becoming increasingly adopted by higher education institutions all over the world. This paper presents a framework that assists instructors in this pedagogical paradigm and its corresponding open-source implementation. The framework supports the formal definition of competency assessment models and the students' evaluation under these models. It also provides distinct learning analytics for identifying course shortcomings and validating corrective actions instructors have introduced in a course. Finally, this paper reports the benefits of applying our framework to an engineering course at the Pontifical Catholic University, Valparaíso, Chile for three years."
JOUR,M. Ge,,A Granular Computing-Based Deep Neural Network Approach for Automatic Evaluation of Writing Quality,2023,2023,"As a subjective behaviour relying on expert experience, automatic evaluation of writing quality always remains a technical issue. It requires both effective semantic understanding and structure analysis towards writing contents. To deal with this challenge, this paper combines speed superiority of granular computing and the effective approximation ability of deep neural network towards nonlinear mapping relationships. On this basis, a granular computing-based deep neural network approach for automatic evaluation of writing quality, is developed in this paper. Specifically, the granular computing is used as the front-end processor of deep neural network, so as to reduce the following information density. Then, the deep neural network serves as the main backbone structure to extract semantic features of writing contents. Such combination of two modules can improve processing speed in large-scale textual analysis scenes, under insurance of evaluation performance. The simulation experiments are also conducted to test performance of the proposed technical framework, and the results show that both high accuracy and proper running speed are endowed with the proposal."
JOUR,"J. Skalka, M. Drlík",,Development of Automatic Source Code Evaluation Tests Using Grey-Box Methods: A Programming Education Case Study,2023,2023,"Increasing the effectiveness of programming education has emerged as an important goal in teaching programming languages in the last decade. Automatic evaluation of the correctness of the student’s source code saves teachers time and effort and allows a more comprehensive focus on the preparation of assignments with integrated feedback. The study aims to present an approach that will enable effective testing of students’ source codes within object-oriented programming courses while minimising the demands on teachers when preparing the assignment. This approach also supports variability in testing and preventing student cheating. Based on the principles of different types of testing (black-box, white-box, grey-box), an integrated solution for source code verification was designed and verified. The basic idea is to use a reference class, which is assumed to be part of every assignment, as the correct solution. This reference class is compared to the student solution using the grey-box method. Due to their identical interface (defined by assignment), comparing instance states and method outputs is a matter of basic programming language mechanisms. A significant advantage is that a random generation of test cases can be used in such a case, while the rules for their generation can be determined using simple formulas. The proposed procedure was implemented and gradually improved over 4 years on groups of bachelor students of applied informatics with a high level of acceptance."
JOUR,"M. N. Demaidi, M. Qamhieh, A. Afeefi",,Applying Blended Learning in Programming Courses,2019,2019,"The C programming course is mandatory for undergraduate engineering students enrolled at universities in Palestine. The programming courses are taught by applying a traditional learning method in which the programming concepts are explained theoretically and minimal practical work is applied. In addition, students receive either no formative feedback or minimal manual delayed feedback after submitting their practical work. This negatively affects students' performance as students find it difficult to understand the programming concepts. This paper addresses the aforementioned drawbacks by applying blended learning for the first time to the C programming course which is taught to more than 1000 students each year at An-Najah National University, Palestine. Blended learning is a hybrid learning method which integrates the traditional learning method with technology and online learning. It provides students with more practical work and automated immediate formative feedback. This paper aims to study the effect of blended learning on students' performance, and students' satisfaction with the blended learning method. An independent experimental design was applied on 1374 undergraduate students enrolled in C programming course. Students were divided into two groups based on the learning method. The first group consisted of 632 students who studied the course using the traditional learning method, while the second group consisted of 742 students in which blended learning was applied. Quantitative and qualitative research methods were applied and the results revealed that blended learning improved student performance significantly compared with traditional learning. In addition, the results revealed that students were satisfied with the blended learning method in terms of easiness to use and suitability for programming and submitting assignments."
JOUR,"S. López-Pernas, M. Saqr",,Bringing Synchrony and Clarity to Complex Multi-Channel Data: A Learning Analytics Study in Programming Education,2021,2021,"Supporting teaching and learning programming with learning analytics is an active area of inquiry. Most data used for learning analytics research comes from learning management systems. However, such systems were not developed to support learning programming. Therefore, educators have to resort to other systems that support the programming process, which can pose a challenge when it comes to understanding students’ learning since it takes place in different contexts. Methods that support the combination of different data sources are needed. Such methods would ideally account for the time-ordered sequence of students’ learning actions. In this article, we use a novel method (multi-channel sequence mining with Hidden Markov Models, HMMs) that allows the combination of multiple data sources, accounts for the temporal nature of students’ learning actions, and maps the transitions between different learning tactics. Our study included 291 students enrolled in a higher education programming course. Students’ trace-log data were collected from the learning management system and from a programming automated assessment tool. Data were analyzed using multi-channel sequence mining and HMM. The results reveal different patterns of students’ approaches to learning programming. High achievers start earlier to work on the programming assignments, use more independent strategies and consume learning resources more frequently, while the low achievers procrastinate early in the course and rely on help forums. Our findings demonstrate the potentials of multi-channel sequence mining and how this method can be analyzed using HMM. Furthermore, the results obtained can be of use for educators to understand students’ strategies when learning programming."
JOUR,"H. Zhang, J. Wang",,A Smart Knowledge Discover System for Teaching Quality Evaluation via Genetic Algorithm-Based BP Neural Network,2023,2023,"The intelligent and automatic evaluation for teaching quality has been a more and more general demand in the digital society. The most intuitive solution is to make an assessment based on examination results, which cannot comprehensively reflect the course situation. To deal with such a problem, this paper designs a smart knowledge discovery system for teaching quality evaluation using a genetic algorithm-based BP neural network. Three aspects of factors are selected as the features: teaching conditions, teaching process, and teaching effect. The BP neural network is formulated to learn a nonlinear mapping from initial features to evaluation results. The learned parameters are then re-optimized by introducing the genetic algorithm. The proposed evaluation framework is also assessed concerning running performance on a real-world course-teaching dataset. The obtained results reflect that the proposal can realize the intelligent evaluation of the teaching effect and the evaluation effect is close to artificial experience-based evaluation results."
JOUR,"M. Campoverde-Molina, S. Luján-Mora, L. V. García",,Empirical Studies on Web Accessibility of Educational Websites: A Systematic Literature Review,2020,2020,"Web accessibility means that people with some type of disability can make use of the Web in the same conditions as the rest of the people. When we talk about web accessibility, we refer to a web design and development that allows these people to perceive, understand, navigate and interact with the Web. Web accessibility also benefits other people, including elderly people whose abilities have declined as a result of age. The Web is an essential resource in human activity: education, employment, government, commerce, health, entertainment and many others benefit of the power of the Web. The aim of this systematic literature review is to analyze the empirical methods of evaluating accessibility to educational websites, disabilities and their errors described in a total of 25 selected studies. The results show that in 20 of the 25 papers, web accessibility was evaluated with automatic tools, in 2 papers it was evaluated with real users and in the other 3 papers with automatic tools, real users and experts. There is also evidence that all the educational websites analyzed in the papers need to correct errors. In conclusion, educational websites do not meet any version of the Web Content Accessibility Guidelines (WCAG) and their conformance levels. According to the results, the empirical evaluation methods used for web accessibility could be improved by adopting automatic evaluation tools for website construction and manual mechanisms with web accessibility experts. The challenge for educational institutions is to carry out web accessibility projects to comply with WCAG and other web accessibility standards and current laws of educational inclusion."
JOUR,"K. A. Kroeze, S. M. van den Berg, B. P. Veldkamp, T. de Jong",,Automated Assessment of and Feedback on Concept Maps During Inquiry Learning,1 Aug. 2021,2021,"A tool is presented that can automatically assess the quality of students’ concept maps and provide feedback based on a reference concept map. It is shown that this tool can effectively assess the quality of concept maps, and that it can provide accurate and helpful feedback on a number of specific shortcomings often evident in students’ concept maps. However, it was also found that students who had access to feedback often did not request it, or did not take full advantage of the feedback given."
